year,field_of_study,major,students
2003,Physical and Life Sciences,Science Technologies/Technicians,1714.0
2003,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2639.0
2003,Social Sciences,History,
2003,Social Sciences,Psychology,8352.0
2003,Social Sciences,Public Administration and Social Service Professions,5372.0
2003,Social Sciences,Social Sciences,34101.0
2003,Undeclared,Undeclared,29313.0
2004,Agriculture,Agriculture,5528.0
2004,Agriculture,Natural Resources and Conservation,1991.0
2004,Business and Management,Business and Management,98975.0
2004,Communications and Journalism,"Communication, Journalism",9107.0
2004,Communications and Journalism,Communications Technologies/Technicians,1848.0
2004,Education,Education,15697.0
2004,Engineering,Construction Trades,242.0
2004,Engineering,Engineering,87999.0
2004,Engineering,Engineering Technologies/Technicians,3427.0
2004,Engineering,Mechanic and Repair Technologies/Technicians,277.0
2004,Engineering,Military Technologies,18.0
2004,Engineering,Precision Production,30.0
2004,Engineering,Transportation and Materials Moving,977.0
2004,Fine and Applied Arts,Architecture,6271.0
2004,Fine and Applied Arts,Visual and Performing Arts,21792.0
2004,Health Professions,Health Professions,26301.0
2004,Health Professions,Residency Programs,154.0
2004,Humanities,English Language and Literature/Letters,4590.0
2004,Humanities,"Foreign Languages, Literatures and Linguistics",5839.0
2004,Humanities,Philosophy and Religious Studies,1544.0
2004,Humanities,Theology and Religious Vocations,3877.0
2004,Intensive English,Intensive English,16133.0
2004,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",882.0
2004,Legal Studies and Law Enforcement,Legal Professions and Studies,6270.0
2004,Math and Computer Science,Computer and Information Sciences,38966.0
2004,Math and Computer Science,Mathematics and Statistics,11781.0
2004,Other Fields of Study,Basic Skills,
2004,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3142.0
2004,Other Fields of Study,Liberal Arts and Sciences/General Studies,32912.0
2004,Other Fields of Study,Library Science,638.0
2004,Other Fields of Study,Multi/Interdisciplinary Studies,5611.0
2004,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2940.0
2004,Other Fields of Study,Personal and Culinary Services,1104.0
2004,Other Fields of Study,Reserve Officer Training Corps,
2004,Physical and Life Sciences,Biological and Biomedical Sciences,25987.0
2004,Physical and Life Sciences,Physical Sciences,22498.0
2004,Physical and Life Sciences,Science Technologies/Technicians,1014.0
2004,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2570.0
2004,Social Sciences,History,1774.0
2004,Social Sciences,Psychology,7788.0
2004,Social Sciences,Public Administration and Social Service Professions,5056.0
2004,Social Sciences,Social Sciences,25075.0
2004,Undeclared,Undeclared,27982.0
2005,Agriculture,Agriculture,5475.0
2005,Agriculture,Natural Resources and Conservation,2408.0
2005,Business and Management,Business and Management,99382.0
2005,Communications and Journalism,"Communication, Journalism",9573.0
2005,Communications and Journalism,Communications Technologies/Technicians,2517.0
2005,Education,Education,16546.0
2005,Engineering,Construction Trades,290.0
2005,Engineering,Engineering,82884.0
2005,Engineering,Engineering Technologies/Technicians,4161.0
2005,Engineering,Mechanic and Repair Technologies/Technicians,292.0
2005,Engineering,Military Technologies,203.0
2005,Engineering,Precision Production,20.0
2005,Engineering,Transportation and Materials Moving,813.0
2005,Fine and Applied Arts,Architecture,6036.0
2005,Fine and Applied Arts,Visual and Performing Arts,23472.0
2005,Health Professions,Health Professions,27124.0
2005,Health Professions,Residency Programs,580.0
2005,Humanities,English Language and Literature/Letters,4908.0
2005,Humanities,"Foreign Languages, Literatures and Linguistics",6005.0
2005,Humanities,Philosophy and Religious Studies,1613.0
2005,Humanities,Theology and Religious Vocations,3954.0
2005,Intensive English,Intensive English,17239.0
2005,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",871.0
2005,Legal Studies and Law Enforcement,Legal Professions and Studies,6114.0
2005,Math and Computer Science,Computer and Information Sciences,34318.0
2005,Math and Computer Science,Mathematics and Statistics,11200.0
2005,Other Fields of Study,Basic Skills,
2005,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3264.0
2005,Other Fields of Study,Liberal Arts and Sciences/General Studies,29865.0
2005,Other Fields of Study,Library Science,729.0
2005,Other Fields of Study,Multi/Interdisciplinary Studies,6557.0
2005,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3025.0
2005,Other Fields of Study,Personal and Culinary Services,1498.0
2005,Other Fields of Study,Reserve Officer Training Corps,
2005,Physical and Life Sciences,Biological and Biomedical Sciences,27233.0
2005,Physical and Life Sciences,Physical Sciences,21655.0
2005,Physical and Life Sciences,Science Technologies/Technicians,1281.0
2005,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2373.0
2005,Social Sciences,History,1868.0
2005,Social Sciences,Psychology,8021.0
